รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาต่อหน่วยนับ,ปีงบประมาณ,รายการลำดับที่ id ในปีงบนั้น,รายการในแผน/นอกแผน,จำนวนยกยอดมา,มูลค่ายกยอดมา,จำนวนที่ต้องการใช้ในปี,มูลค่ารวมที่ต้องใช้ในปี,จำนวนที่ต้องซื้อเพิ่มในปี,มูลค่าที่ต้องซื้อเพิ่มในปี(บาท),หน่วยงานที่มีหน้าที่จัดซื้อ
P230-000351,วัสดุใช้ไป,ถ่าน ชนิดอัลคาไลน์ ขนาด AAA,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ก้อน,20.00,2568,351,ในแผน,18.00,360.00,362.00,"7,240.00",344.00,"6,880.00",กลุ่มงานบริหารทั่วไป
P230-000352,วัสดุใช้ไป,ถ่าน ชนิดอัลคาไลน์ ขนาดกลาง C,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ก้อน,50.00,2568,352,ในแผน,48.00,"2,400.00",100.00,"5,000.00",52.00,"2,600.00",กลุ่มงานบริหารทั่วไป
P230-000353,วัสดุใช้ไป,ถ่าน ชนิดธรรมดา ขนาดใหญ่ D,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ก้อน,16.00,2568,353,ในแผน,26.00,416.00,54.00,864.00,28.00,448.00,กลุ่มงานบริหารทั่วไป
P230-000354,วัสดุใช้ไป,แบตเตอรี่ แบบแห้ง สำหรับเครื่องสำรองไฟ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,"1,200.00",2568,354,ในแผน,0.00,0.00,5.00,"6,000.00",5.00,"6,000.00",กลุ่มงานบริหารทั่วไป
P230-000355,วัสดุใช้ไป,ปลั๊กไฟพ่วง แบบ 4 ช่อง 4 สวิตซ์ ยาว 3 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,410.00,2568,355,ในแผน,7.00,"2,870.00",52.00,"21,320.00",45.00,"18,450.00",กลุ่มงานบริหารทั่วไป
P230-000356,วัสดุใช้ไป,ปลั๊กไฟพ่วง แบบ 5 ช่อง 5 สวิตซ์ ยาว 3 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,410.00,2568,356,ในแผน,0.00,0.00,20.00,"8,200.00",20.00,"8,200.00",กลุ่มงานบริหารทั่วไป
P230-000357,วัสดุใช้ไป,หลอดไฟ ชนิด LED ขนาด 18 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,100.00,2568,357,ในแผน,0.00,0.00,12.00,"1,200.00",12.00,"1,200.00",กลุ่มงานบริหารทั่วไป
P230-000358,วัสดุใช้ไป,หลอดไฟ ชนิด LED ขนาด 22 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,155.00,2568,358,ในแผน,0.00,0.00,260.00,"40,300.00",260.00,"40,300.00",กลุ่มงานบริหารทั่วไป
P230-000359,วัสดุใช้ไป,หลอดไฟ ชนิด LED ขนาด 9 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,110.00,2568,359,ในแผน,0.00,0.00,50.00,"5,500.00",50.00,"5,500.00",กลุ่มงานบริหารทั่วไป
P230-000360,วัสดุใช้ไป,Adaptor ขนาด 12V.,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,265.00,2568,360,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000361,วัสดุใช้ไป,กล่องเบรคเกอร์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,15.00,2568,361,ในแผน,0.00,0.00,20.00,300.00,20.00,300.00,กลุ่มงานบริหารทั่วไป
P230-000362,วัสดุใช้ไป,กล่องลอย ชนิดพลาสติก ขนาด 2*4 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,15.00,2568,362,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000363,วัสดุใช้ไป,กล่องลอย ชนิดพลาสติก ขนาด 4*4 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,18.00,2568,363,ในแผน,0.00,0.00,20.00,360.00,20.00,360.00,กลุ่มงานบริหารทั่วไป
P230-000364,วัสดุใช้ไป,ก้ามปู สำหรับล๊อคท่อ ขนาด 1/2 นิ้ว สีเหลือง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,5.00,2568,364,ในแผน,0.00,0.00,120.00,600.00,120.00,600.00,กลุ่มงานบริหารทั่วไป
P230-000365,วัสดุใช้ไป,กิ๊บ ชนิดพลาสติก สำหรับสายทีวี 3C,วัสดุไฟฟ้า,วัสดุไฟฟ้า,กล่อง,20.00,2568,365,ในแผน,0.00,0.00,10.00,200.00,10.00,200.00,กลุ่มงานบริหารทั่วไป
P230-000366,วัสดุใช้ไป,ข้อต่อ ชนิดพลาสติก แบบโค้ง ขนาด 1/2 นิ้ว สีเหลือง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,8.00,2568,366,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000367,วัสดุใช้ไป,ข้อต่อ ชนิดพลาสติก แบบโค้ง ขนาด 1/2 นิ้ว สีเหลือง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,6.00,2568,367,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000368,วัสดุใช้ไป,ขาหลอดนีออน แบบครึ่งท่อน,วัสดุไฟฟ้า,วัสดุไฟฟ้า,คู่,25.00,2568,368,ในแผน,0.00,0.00,20.00,500.00,20.00,500.00,กลุ่มงานบริหารทั่วไป
P230-000369,วัสดุใช้ไป,ขาหลอดนีออน แบบล๊อค,วัสดุไฟฟ้า,วัสดุไฟฟ้า,คู่,25.00,2568,369,ในแผน,0.00,0.00,20.00,500.00,20.00,500.00,กลุ่มงานบริหารทั่วไป
P230-000370,วัสดุใช้ไป,สายเคเบิลไทร์ ชนิดพลาสติก ขนาด 10 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ถุง,110.00,2568,370,ในแผน,0.00,0.00,2.00,220.00,2.00,220.00,กลุ่มงานบริหารทั่วไป
P230-000371,วัสดุใช้ไป,สายเคเบิลไทร์ ชนิดพลาสติก ขนาด 15 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ถุง,160.00,2568,371,ในแผน,0.00,0.00,2.00,320.00,2.00,320.00,กลุ่มงานบริหารทั่วไป
P230-000372,วัสดุใช้ไป,สายเคเบิลไทร์ ชนิดพลาสติก ขนาด 6 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ถุง,50.00,2568,372,ในแผน,0.00,0.00,2.00,100.00,2.00,100.00,กลุ่มงานบริหารทั่วไป
P230-000373,วัสดุใช้ไป,สายเคเบิลไทร์ ชนิดพลาสติก ขนาด 8 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ถุง,60.00,2568,373,ในแผน,0.00,0.00,2.00,120.00,2.00,120.00,กลุ่มงานบริหารทั่วไป
P230-000374,วัสดุใช้ไป,ตะกั่วบัตกรี แบบปากกา ยาว 3 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,50.00,2568,374,ในแผน,0.00,0.00,2.00,100.00,2.00,100.00,กลุ่มงานบริหารทั่วไป
P230-000375,วัสดุใช้ไป,ตะปู สำหรับยิงฝ้า ขนาด 1*6 สีดำ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,กล่อง,110.00,2568,375,ในแผน,0.00,0.00,5.00,550.00,5.00,550.00,กลุ่มงานบริหารทั่วไป
P230-000376,วัสดุใช้ไป,HDMI splitter ขนาด 8 port,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,"1,050.00",2568,376,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000377,วัสดุใช้ไป,ตู้พลาสติก แบบกันน้ำ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตู้,125.00,2568,377,ในแผน,0.00,0.00,2.00,250.00,2.00,250.00,กลุ่มงานบริหารทั่วไป
P230-000378,วัสดุใช้ไป,ท่อสายไฟ ชนิด PVC แบบท่อตรง ขนาด 1/2 นิ้ว สีเหลือง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,55.00,2568,378,ในแผน,0.00,0.00,4.00,220.00,4.00,220.00,กลุ่มงานบริหารทั่วไป
P230-000379,วัสดุใช้ไป,เทป สำหรับฟันสายไฟ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,35.00,2568,379,ในแผน,0.00,0.00,20.00,700.00,20.00,700.00,กลุ่มงานบริหารทั่วไป
P230-000380,วัสดุใช้ไป,แท่งกราวด์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,95.00,2568,380,ในแผน,0.00,0.00,10.00,950.00,10.00,950.00,กลุ่มงานบริหารทั่วไป
P230-000381,วัสดุใช้ไป,บัลลาส ชนิดหลอดฮาโลเจน ขนาด 12V 35 Watt,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,745.00,2568,381,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000382,วัสดุใช้ไป,เบรคเกอร์ ขนาด 30A,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,145.00,2568,382,ในแผน,0.00,0.00,5.00,725.00,5.00,725.00,กลุ่มงานบริหารทั่วไป
P230-000383,วัสดุใช้ไป,แบตเตอรี่ แบบแห้ง ขนาด 12V 7.5A,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ลูก,600.00,2568,383,ในแผน,0.00,0.00,5.00,"3,000.00",5.00,"3,000.00",กลุ่มงานบริหารทั่วไป
P230-000384,วัสดุใช้ไป,ปลั๊กไฟ แบบกราวคู่,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,55.00,2568,384,ในแผน,0.00,0.00,55.00,"3,025.00",55.00,"3,025.00",กลุ่มงานบริหารทั่วไป
P230-000385,วัสดุใช้ไป,ปลั๊กไฟ แบบตุ๊กตา,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,85.00,2568,385,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000386,วัสดุใช้ไป,แป้นพลาสติก ขนาด 4*6 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,20.00,2568,386,ในแผน,0.00,0.00,10.00,200.00,10.00,200.00,กลุ่มงานบริหารทั่วไป
P230-000387,วัสดุใช้ไป,พุก ชนิดพลาสติก เบอร์ 7,วัสดุไฟฟ้า,วัสดุไฟฟ้า,กล่อง,20.00,2568,387,ในแผน,0.00,0.00,12.00,240.00,12.00,240.00,กลุ่มงานบริหารทั่วไป
P230-000388,วัสดุใช้ไป,ไมล์สาย,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,490.00,2568,388,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000389,วัสดุใช้ไป,ปลั๊กไฟพ่วง ยาว 5 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,240.00,2568,389,ในแผน,0.00,0.00,1.00,240.00,1.00,240.00,กลุ่มงานบริหารทั่วไป
P230-000390,วัสดุใช้ไป,รางสายไฟ แบบมินิเท้งกิ้ง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,75.00,2568,390,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000391,วัสดุใช้ไป,รางสายไฟ ยาว 2 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,90.00,2568,391,ในแผน,0.00,0.00,10.00,900.00,10.00,900.00,กลุ่มงานบริหารทั่วไป
P230-000392,วัสดุใช้ไป,ลูกเสียบ แบบตัวผู้,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,15.00,2568,392,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000393,วัสดุใช้ไป,ลูกเสียบ แบบตัวเมีย,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,14.00,2568,393,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000394,วัสดุใช้ไป,ไฟสนาม แบบสปอตไลท์ ขนาด 50W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,460.00,2568,394,ในแผน,0.00,0.00,2.00,920.00,2.00,920.00,กลุ่มงานบริหารทั่วไป
P230-000395,วัสดุใช้ไป,สวิทช์ไฟ แบบแสงแดด,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,180.00,2568,395,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000396,วัสดุใช้ไป,สวิทช์ไฟ แบบฝัง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,25.00,2568,396,ในแผน,0.00,0.00,24.00,600.00,24.00,600.00,กลุ่มงานบริหารทั่วไป
P230-000397,วัสดุใช้ไป,สาย HDMI ขนาด 3 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,95.00,2568,397,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000398,วัสดุใช้ไป,สาย HDMI ขนาด 5 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,155.00,2568,398,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000399,วัสดุใช้ไป,สายดิน ขนาด 1*2.5 สีขาว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,950.00,2568,399,ในแผน,0.00,0.00,2.00,"1,900.00",2.00,"1,900.00",กลุ่มงานบริหารทั่วไป
P230-000400,วัสดุใช้ไป,สายดิน ขนาด 1*2.5 สีดำ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,950.00,2568,400,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000401,วัสดุใช้ไป,สายดิน,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,950.00,2568,401,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000402,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 2 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,20.00,2568,402,ในแผน,0.00,0.00,10.00,200.00,10.00,200.00,กลุ่มงานบริหารทั่วไป
P230-000403,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 3 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,15.00,2568,403,ในแผน,0.00,0.00,20.00,300.00,20.00,300.00,กลุ่มงานบริหารทั่วไป
P230-000404,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 6 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,33.00,2568,404,ในแผน,0.00,0.00,40.00,"1,320.00",40.00,"1,320.00",กลุ่มงานบริหารทั่วไป
P230-000405,วัสดุใช้ไป,ยกเลิก หลอดไฟ ชนิด LED ขนาด 18 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,72.00,2568,405,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000406,วัสดุใช้ไป,ยกเลิก หลอดไฟ ชนิด LED ขนาด 22 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,155.00,2568,406,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000407,วัสดุใช้ไป,หลอดไฟ ชนิดนีออน ขนาด 36 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,95.00,2568,407,ในแผน,0.00,0.00,6.00,570.00,6.00,570.00,กลุ่มงานบริหารทั่วไป
P230-000408,วัสดุใช้ไป,ปลั๊กไฟ แบบฝัง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,115.00,2568,408,ในแผน,0.00,0.00,2.00,230.00,2.00,230.00,กลุ่มงานบริหารทั่วไป
P230-000409,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 1 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,15.00,2568,409,ในแผน,0.00,0.00,8.00,120.00,8.00,120.00,กลุ่มงานบริหารทั่วไป
P230-000410,วัสดุใช้ไป,ไฟฉาย แบบหลอดไส้,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,250.00,2568,410,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000411,วัสดุใช้ไป,ปลั๊กไฟ แบบตัวผู้,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,10.00,2568,411,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000412,วัสดุใช้ไป,ลูกเซอร์กิต,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,95.00,2568,412,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000413,วัสดุใช้ไป,สายลำโพง แบบใส ขนาดใหญ่,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เมตร,10.00,2568,413,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000414,วัสดุใช้ไป,สายไมค์ แบบพร้อมแจ๊ค,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,155.00,2568,414,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000415,วัสดุใช้ไป,กริ่ง แบบไร้สาย มีรีโมท,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,260.00,2568,415,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000416,วัสดุใช้ไป,เพรสเซอร์สวิทช์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,"1,050.00",2568,416,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000417,วัสดุใช้ไป,แบตเตอรี่ สำหรับเครื่อง DRX,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ก้อน,"39,100.00",2568,417,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000418,วัสดุใช้ไป,สายโทรศัพท์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,620.00,2568,418,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000419,วัสดุใช้ไป,ยกเลิก ปลั๊กไฟ แบบฝัง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,25.00,2568,419,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000420,วัสดุใช้ไป,สาย VCT,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,"1,590.00",2568,420,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000421,วัสดุใช้ไป,กบเหลาดินสอ แบบหมุน,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,265.00,2568,421,ในแผน,2.00,530.00,4.00,"1,060.00",2.00,530.00,กลุ่มงานบริหารทั่วไป
P230-000422,วัสดุใช้ไป,กรรไกร ขนาด 8 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,85.00,2568,422,ในแผน,15.00,"1,275.00",79.00,"6,715.00",64.00,"5,440.00",กลุ่มงานบริหารทั่วไป
P230-000423,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีส้ม,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110.00,2568,423,ในแผน,0.00,0.00,2.00,220.00,2.00,220.00,กลุ่มงานบริหารทั่วไป
P230-000424,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีขาว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110.00,2568,424,ในแผน,1.00,110.00,6.00,660.00,5.00,550.00,กลุ่มงานบริหารทั่วไป
P230-000425,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีเขียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110.00,2568,425,ในแผน,3.00,330.00,32.00,"3,520.00",29.00,"3,190.00",กลุ่มงานบริหารทั่วไป
P230-000426,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีชมพู,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110.00,2568,426,ในแผน,7.00,770.00,26.00,"2,860.00",19.00,"2,090.00",กลุ่มงานบริหารทั่วไป
P230-000427,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีฟ้า,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110.00,2568,427,ในแผน,0.00,0.00,25.00,"2,750.00",25.00,"2,750.00",กลุ่มงานบริหารทั่วไป
P230-000428,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110.00,2568,428,ในแผน,2.00,220.00,29.00,"3,190.00",27.00,"2,970.00",กลุ่มงานบริหารทั่วไป
P230-000429,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,35.00,2568,429,ในแผน,7.00,245.00,5.00,175.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000430,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1 นิ้ว 24x25 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,45.00,2568,430,ในแผน,242.00,"10,890.00",754.00,"33,930.00",512.00,"23,040.00",กลุ่มงานบริหารทั่วไป
P230-000431,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1.5 นิ้ว 36x20 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,25.00,2568,431,ในแผน,31.00,775.00,713.00,"17,825.00",682.00,"17,050.00",กลุ่มงานบริหารทั่วไป
P230-000432,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1/2 นิ้ว 36x20 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,20.00,2568,432,ในแผน,0.00,0.00,13.00,260.00,13.00,260.00,กลุ่มงานบริหารทั่วไป
P230-000433,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 2 นิ้ว 20 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,30.00,2568,433,ในแผน,29.00,870.00,86.00,"2,580.00",57.00,"1,710.00",กลุ่มงานบริหารทั่วไป
P230-000434,วัสดุใช้ไป,กระดาษไข สำหรับเครื่องโรเนียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,"1,200.00",2568,434,ในแผน,0.00,0.00,10.00,"12,000.00",10.00,"12,000.00",กลุ่มงานบริหารทั่วไป
P230-000435,วัสดุใช้ไป,กระดาษคาร์บอน สีน้ำเงิน,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,150.00,2568,435,ในแผน,1.00,150.00,14.00,"2,100.00",13.00,"1,950.00",กลุ่มงานบริหารทั่วไป
P230-000436,วัสดุใช้ไป,กระดาษต่อเนื่อง แบบ 1 ชั้น ขนาด 15x11 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,"2,000.00",2568,436,ในแผน,9.00,"18,000.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000437,วัสดุใช้ไป,กระดาษถ่ายเอกสาร ขนาด A4,วัสดุสำนักงาน,วัสดุสำนักงาน,รีม,120.00,2568,437,ในแผน,250.00,"30,000.00","1,223.00","146,760.00",973.00,"116,760.00",กลุ่มงานบริหารทั่วไป
P230-000438,วัสดุใช้ไป,กระดาษเทอร์มอล สำหรับเครื่อง EDC ขนาด 57*40 มม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,90.00,2568,438,ในแผน,80.00,"7,200.00",240.00,"21,600.00",160.00,"14,400.00",กลุ่มงานบริหารทั่วไป
P230-000439,วัสดุใช้ไป,กระดาษเทอร์มอล สำหรับเครื่องวัดความดัน ขนาด 57*55 มม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,50.00,2568,439,ในแผน,270.00,"13,500.00",214.00,"10,700.00",0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000440,วัสดุใช้ไป,กระดาษเทอร์มอล ขนาด 80*80 มม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,60.00,2568,440,ในแผน,60.00,"3,600.00",700.00,"42,000.00",640.00,"38,400.00",กลุ่มงานบริหารทั่วไป
P230-000441,วัสดุใช้ไป,กระดาษบรุ๊ฟ ขนาด 31x43 นิ้ว สีขาว,วัสดุสำนักงาน,วัสดุสำนักงาน,แผ่น,4.00,2568,441,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000442,วัสดุใช้ไป,กระดาษบวกเลข สำหรับเครื่องคิดเลข ขนาด 2 1/4 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,10.00,2568,442,ในแผน,17.00,170.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000443,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีเขียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95.00,2568,443,ในแผน,7.00,665.00,1.00,95.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000444,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีชมพู,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95.00,2568,444,ในแผน,4.00,380.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000445,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีฟ้า,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95.00,2568,445,ในแผน,6.00,570.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000446,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95.00,2568,446,ในแผน,14.00,"1,330.00",1.00,95.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000447,วัสดุใช้ไป,กระดาษโรเนียว หนา 70 แกรม ขนาด A4 สีขาว,วัสดุสำนักงาน,วัสดุสำนักงาน,รีม,120.00,2568,447,ในแผน,61.00,"7,320.00",317.00,"38,040.00",256.00,"30,720.00",กลุ่มงานบริหารทั่วไป
